"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"vs. CAR","2 out of 5 stars","A+","11.1"
"2","Darren Waller",LV,"at LAC","4 out of 5 stars","A","10.1"
"3","Mark Andrews",BAL,"at IND","1 out of 5 stars","A-","8.6"
"4","T.J. Hockenson",DET,"at MIN","4 out of 5 stars","B","8.4"
"5","Noah Fant",DEN,"at ATL","5 out of 5 stars","B","8.3"
"6","Rob Gronkowski",TB,"vs. NO","4 out of 5 stars","B+","7.9"
"7","Hunter Henry",LAC,"vs. LV","3 out of 5 stars","B-","7.8"
"8","Hayden Hurst",ATL,"vs. DEN","3 out of 5 stars","C+","7.8"
"9","Jared Cook",NO,"at TB","3 out of 5 stars","C+","7.2"
"10","Jonnu Smith",TEN,"vs. CHI","4 out of 5 stars","C","6.2"
"11","Robert Tonyan",GB,"at SF","1 out of 5 stars","C-","6.2"
"12","Eric Ebron",PIT,"at DAL","4 out of 5 stars","C-","5.8"
"13","Evan Engram",NYG,"at WAS","3 out of 5 stars","C-","5.7"
"14","Jimmy Graham",CHI,"at TEN","5 out of 5 stars","D+","5.5"
"15","Mike Gesicki",MIA,"at ARI","4 out of 5 stars","D+","5.3"
"16","Logan Thomas",WAS,"vs. NYG","2 out of 5 stars","D+","5.2"
"17","Jordan Reed",SF,"vs. GB","1 out of 5 stars","D","5.1"
"18","Trey Burton",IND,"vs. BAL","3 out of 5 stars","D","4.7"
"19","Ross Dwelley",SF,"vs. GB","1 out of 5 stars","D-","4.1"
"20","Jordan Akins",HOU,"at JAC","5 out of 5 stars","D-","4.0"
"21","Irv Smith Jr.",MIN,"vs. DET","2 out of 5 stars","D-","3.9"
"22","Greg Olsen",SEA,"at BUF","5 out of 5 stars","D-","3.8"
"23","Albert Okwuegbunam",DEN,"at ATL","5 out of 5 stars","F","3.7"
"24","Dalton Schultz",DAL,"vs. PIT","1 out of 5 stars","F","3.7"
"25","Darren Fells",HOU,"at JAC","5 out of 5 stars","F","3.6"
"26","Anthony Firkser",TEN,"vs. CHI","4 out of 5 stars","F","3.4"
"27","Will Dissly",SEA,"at BUF","5 out of 5 stars","F","3.2"
"28","Jack Doyle",IND,"vs. BAL","3 out of 5 stars","F","3.2"
"29","Kyle Rudolph",MIN,"vs. DET","2 out of 5 stars","F","3.0"
"30","Mo Alie-Cox",IND,"vs. BAL","3 out of 5 stars","F","3.0"
"31","Ian Thomas",CAR,"at KC","2 out of 5 stars","F","2.8"
"32","Chris Herndon IV",NYJ,"vs. NE","1 out of 5 stars","F","2.8"
"33","Tyler Eifert",JAC,"vs. HOU","4 out of 5 stars","F","2.8"
"34","James O'Shaughnessy",JAC,"vs. HOU","4 out of 5 stars","F","2.7"
"35","Tyler Kroft",BUF,"vs. SEA","2 out of 5 stars","F","2.7"
"36","Dawson Knox",BUF,"vs. SEA","2 out of 5 stars","F","2.6"
"37","Cameron Brate",TB,"vs. NO","4 out of 5 stars","F","2.4"
"38","Dan Arnold",ARI,"vs. MIA","2 out of 5 stars","F","2.3"
"39","Cole Kmet",CHI,"at TEN","5 out of 5 stars","F","2.2"
"40","Jace Sternberger",GB,"at SF","1 out of 5 stars","F","2.2"
"41","Nick Boyle",BAL,"at IND","1 out of 5 stars","F","2.2"
